angle1,angle2,angle3,angle4,angle5,angle6,letra
78,31,24,96,101,109,E
82,34,24,93,100,110,E
80,33,24,90,100,110,E
76,33,23,84,99,109,E
84,35,25,93,100,106,E
85,35,27,96,100,108,E
87,38,26,93,102,111,E
87,37,26,93,102,112,E
84,35,25,97,100,107,E
84,36,24,88,100,110,E
85,38,26,85,100,108,E
78,36,26,90,100,109,E
84,33,22,93,99,108,E
78,33,24,84,99,107,E
78,34,25,81,99,109,E
79,35,26,82,100,108,E
74,33,25,74,97,110,E
72,31,24,74,100,109,E
63,28,24,87,102,109,E
63,29,23,85,102,108,E
62,28,22,93,101,108,E
69,27,22,96,102,110,E
73,30,23,87,102,110,E
82,32,23,96,103,109,E
78,35,25,91,102,110,E
78,32,23,91,102,110,E
70,29,23,91,103,108,E
72,30,23,88,102,109,E
72,34,25,91,101,110,E
68,34,25,91,103,110,E
75,33,24,88,99,109,E
73,33,24,91,100,109,E
75,31,23,80,98,107,E
70,32,24,79,99,108,E
70,31,24,84,102,108,E
72,29,20,100,100,108,E
73,31,23,93,100,107,E
74,30,22,104,101,108,E
73,31,25,94,99,107,E
71,31,24,94,99,107,E
70,31,24,91,100,108,E
70,32,24,91,104,110,E
71,30,23,104,104,110,E
67,30,23,106,105,110,E
74,33,24,94,102,109,E
82,32,23,88,100,108,E
75,30,22,85,103,108,E
78,31,22,88,102,109,E
78,32,23,103,104,109,E
175,175,179,23,172,132,F
175,176,180,22,173,133,F
175,176,180,23,172,133,F
175,175,179,21,173,131,F
177,176,180,24,173,131,F
175,176,179,24,173,131,F
175,175,179,21,173,131,F
175,175,180,23,173,132,F
175,175,180,25,173,132,F
176,176,179,22,172,132,F
175,175,180,22,174,132,F
175,175,180,19,172,131,F
176,174,179,24,171,131,F
175,175,179,21,172,132,F
177,175,180,21,172,131,F
175,175,179,23,173,132,F
176,175,179,23,173,132,F
175,176,180,22,174,131,F
175,175,180,22,173,131,F
175,177,178,22,175,131,F
177,176,178,22,172,131,F
175,175,179,24,171,131,F
175,175,180,23,173,132,F
177,176,179,25,172,131,F
175,176,179,22,173,131,F
175,175,180,21,171,130,F
174,175,179,20,171,130,F
175,176,178,23,173,132,F
175,175,180,23,172,131,F
175,175,179,21,173,132,F
175,175,180,22,171,131,F
176,176,180,23,173,131,F
175,175,180,22,173,130,F
175,176,178,20,172,131,F
176,176,179,21,172,132,F
176,176,179,20,171,131,F
176,176,179,19,169,130,F
175,175,179,18,169,130,F
175,176,179,20,171,129,F
175,176,179,27,174,133,F
175,175,179,22,173,132,F
176,175,180,29,173,133,F
174,174,180,27,174,132,F
174,175,179,24,173,131,F
175,175,179,28,174,132,F
176,176,180,28,174,132,F
175,175,180,28,172,133,F
176,176,179,26,173,132,F
175,176,179,23,172,131,F
175,176,179,26,172,132,F
174,176,179,26,173,131,F
175,176,179,23,172,131,F
175,176,178,22,170,132,F
176,176,179,24,171,131,F
176,176,178,24,171,131,F
175,177,179,21,172,130,F
176,176,179,24,171,131,F
176,177,179,21,172,131,F
174,176,179,24,172,131,F
174,176,178,23,172,131,F
175,176,179,26,171,131,F
176,176,180,23,171,131,F
175,176,180,22,171,131,F
175,176,179,21,172,131,F
175,176,179,22,172,131,F
175,175,179,21,173,132,F
175,175,180,22,174,133,F
175,176,179,22,173,133,F
175,176,180,24,173,132,F
175,175,180,22,172,132,F
175,176,179,22,172,132,F
175,176,179,20,172,132,F
176,176,179,21,171,132,F
176,177,177,17,170,130,F
176,177,176,16,172,129,F
175,176,179,20,171,130,F
175,176,179,20,171,130,F
175,176,177,22,170,131,F
176,176,178,22,169,131,F
176,176,179,24,170,131,F
176,175,180,23,170,131,F
175,175,178,23,170,131,F
174,176,178,22,170,131,F
175,176,178,23,172,131,F
175,176,178,21,170,130,F
176,175,178,21,171,129,F
176,176,178,21,172,130,F
176,177,178,21,172,130,F
175,177,178,21,172,130,F
175,177,177,17,170,129,F
175,176,177,17,171,129,F
176,176,176,17,170,129,F
175,177,176,20,171,129,F
175,176,179,22,169,129,F
176,176,178,20,170,128,F
175,176,177,18,169,128,F
174,176,177,21,169,128,F
175,176,179,20,172,130,F
175,176,177,18,171,131,F
174,176,179,23,171,130,F
178,17,4,3,126,106,I
177,16,3,3,126,106,I
177,16,2,4,125,105,I
177,17,3,4,126,106,I
177,16,2,3,127,106,I
176,16,2,3,127,106,I
176,16,3,3,129,108,I
175,13,2,4,128,107,I
174,15,3,3,129,107,I
175,15,3,3,127,107,I
174,18,4,3,127,106,I
176,19,4,1,127,105,I
175,15,1,3,126,106,I
174,15,3,2,128,106,I
175,16,2,3,129,108,I
175,16,3,3,128,107,I
177,16,3,2,127,106,I
177,17,2,4,126,106,I
176,16,1,4,127,106,I
176,16,2,4,125,107,I
176,15,2,4,125,107,I
176,16,1,4,125,107,I
176,14,1,5,127,107,I
177,13,1,5,126,105,I
176,15,1,5,126,106,I
176,14,1,5,125,106,I
177,15,1,5,127,108,I
176,15,1,5,127,107,I
177,15,2,5,127,107,I
177,15,1,5,128,108,I
176,14,2,4,126,106,I
177,14,1,4,126,106,I
175,16,2,4,127,106,I
174,15,2,4,127,106,I
174,15,2,2,126,105,I
174,15,3,2,127,106,I
175,15,1,3,128,106,I
175,15,2,2,126,106,I
174,16,2,3,127,106,I
175,15,2,3,128,106,I
